Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697135911.860994	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135913.132205	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135914.420478	1.000E-5	3.280E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135915.681999	1.000E-3	5.609E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135916.961602	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135918.225021	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135919.508663	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135920.778401	1.000E-3	5.613E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135922.062652	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135923.334946	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135924.618282	1.000E-5	3.285E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135925.885384	1.000E-3	5.617E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135927.175694	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135928.440335	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135929.722538	1.000E-5	3.283E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135930.987237	1.000E-3	5.614E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135932.286179	1.000E-5	3.285E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135933.547143	1.000E-3	5.608E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135934.836167	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135936.102755	1.000E-3	5.613E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135937.388463	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135938.654024	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135939.934787	1.000E-5	3.269E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135941.208299	1.000E-3	5.593E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135942.495818	1.000E-5	3.231E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135943.765940	1.000E-3	5.562E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135945.052302	1.000E-5	3.203E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135946.321999	1.000E-3	5.533E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135947.611855	1.000E-5	3.162E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135948.874326	1.000E-3	5.503E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135950.152526	1.000E-5	3.128E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135951.419939	1.000E-3	5.475E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135952.698541	1.000E-5	3.095E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135953.967530	1.000E-3	5.449E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135955.261049	1.000E-5	3.061E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135956.524894	1.000E-3	5.425E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135957.809974	1.000E-5	3.039E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135959.076237	1.000E-3	5.407E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135960.370268	1.000E-5	3.016E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135961.632617	1.000E-3	5.386E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135962.919671	1.000E-5	2.994E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135964.194021	1.000E-3	5.373E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135965.484682	1.000E-5	2.967E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135966.745193	1.000E-3	5.358E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135968.021865	1.000E-5	2.956E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135969.293507	1.000E-3	5.345E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135970.583793	1.000E-5	2.943E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135971.848431	1.000E-3	5.336E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135973.139346	1.000E-5	2.922E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135974.406946	1.000E-3	5.320E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135975.691210	1.000E-5	2.910E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135976.953416	1.000E-3	5.311E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135978.233586	1.000E-5	2.897E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
