#Open Capacitance 1000Hz:6.203850E-12
#Open Capacitance 1000000Hz:Not Measured
#38202_028_2-S_HM_XX_Unirrad_Single
#Date/Time: 4/1/2022 3:36:25 PM
#Sensor Name: 38202_028_2-S_HM_XX
#Station: Tesla 2
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Cleaved at Brown. Pstop inhomogeneity

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
34	3731687229.444826	4.468611	23.892132	25.231691	-3.080000E-9	-6.378739E-11	8.255760E-11	-5.182894E-11	-5.432941E-11	-5.480814E-11	-5.410466E-11	-5.376779E-11	-5.421703E-11	-7.019323E-7	-3.509051E-6
35	3731687246.504210	4.454857	23.893382	25.258979	-3.090000E-9	-6.458861E-11	8.255590E-11	-5.632110E-11	-5.558999E-11	-6.016151E-11	-5.765151E-11	-5.743103E-11	-5.698631E-11	-7.032849E-7	-3.515810E-6
36	3731687263.778093	4.462320	23.893182	25.236229	-3.090000E-9	-6.078256E-11	8.256030E-11	-5.474135E-11	-5.604374E-11	-5.557456E-11	-5.426036E-11	-5.515500E-11	-5.515795E-11	-7.029220E-7	-3.513983E-6
37	3731687280.864126	4.475773	23.893618	25.257909	-3.090000E-9	-6.103296E-11	8.255990E-11	-5.880852E-11	-5.778427E-11	-5.782934E-11	-5.857851E-11	-5.825016E-11	-5.820393E-11	-7.034512E-7	-3.516626E-6
38	3731687298.097121	4.471942	23.892966	25.231969	-3.090000E-9	-6.333663E-11	8.256270E-11	-5.682518E-11	-5.821613E-11	-5.535773E-11	-5.618222E-11	-5.664531E-11	-5.650370E-11	-7.027077E-7	-3.512941E-6
39	3731687315.195282	4.474614	23.893400	25.259891	-3.080000E-9	-6.503940E-11	8.256540E-11	-5.531001E-11	-5.420880E-11	-5.547183E-11	-5.602687E-11	-5.525438E-11	-5.539092E-11	-7.028111E-7	-3.513449E-6
40	3731687332.408328	4.473296	23.893143	25.242392	-3.080000E-9	-5.702650E-11	8.256590E-11	-5.510394E-11	-5.355266E-11	-5.692408E-11	-5.536991E-11	-5.523765E-11	-5.523692E-11	-7.027951E-7	-3.513371E-6
41	3731687349.543680	4.481267	23.893977	25.259553	-3.100000E-9	-5.998129E-11	8.256850E-11	-5.298213E-11	-5.243782E-11	-5.342839E-11	-5.360277E-11	-5.311278E-11	-5.320526E-11	-7.041096E-7	-3.519933E-6
42	3731687366.803131	4.463420	23.893442	25.270275	-3.090000E-9	-6.283586E-11	8.257290E-11	-5.656168E-11	-5.826647E-11	-5.667578E-11	-5.788456E-11	-5.734712E-11	-5.728017E-11	-7.031214E-7	-3.515019E-6
43	3731687383.890360	4.465740	23.894174	25.237816	-3.100000E-9	-6.238515E-11	8.257170E-11	-5.713888E-11	-5.769373E-11	-5.870154E-11	-5.873890E-11	-5.806826E-11	-5.819764E-11	-7.033755E-7	-3.516270E-6
44	3731687401.147158	4.466873	23.894649	25.218951	-3.090000E-9	-6.018157E-11	8.257550E-11	-5.507043E-11	-5.580317E-11	-5.569151E-11	-5.775808E-11	-5.608080E-11	-5.574734E-11	-7.036028E-7	-3.517397E-6
45	3731687418.345033	4.481557	23.896551	25.260208	-3.090000E-9	-5.907982E-11	8.257710E-11	-5.770733E-11	-5.574530E-11	-5.834504E-11	-5.543388E-11	-5.680789E-11	-5.672631E-11	-7.041167E-7	-3.519946E-6
46	3731687435.594518	4.474074	23.897938	25.229868	-3.100000E-9	-6.293600E-11	8.257790E-11	-5.252025E-11	-5.409247E-11	-5.287494E-11	-5.368011E-11	-5.329194E-11	-5.327753E-11	-7.038209E-7	-3.518482E-6
47	3731687452.684632	4.467137	23.897919	25.240312	-3.110000E-9	-6.308627E-11	8.257960E-11	-5.349436E-11	-5.551386E-11	-5.332729E-11	-5.455211E-11	-5.422190E-11	-5.402323E-11	-7.036634E-7	-3.517690E-6
48	3731687469.889858	4.461423	23.896868	25.246712	-3.100000E-9	-6.298600E-11	8.257930E-11	-5.304038E-11	-5.458724E-11	-5.422646E-11	-5.530533E-11	-5.428985E-11	-5.440685E-11	-7.051221E-7	-3.525019E-6
49	3731687486.950238	4.463765	23.895800	25.213917	-3.100000E-9	-5.907983E-11	8.258170E-11	-5.465728E-11	-5.609266E-11	-5.652043E-11	-5.702293E-11	-5.607333E-11	-5.630654E-11	-7.044089E-7	-3.521452E-6
50	3731687504.154113	4.473989	23.894847	25.232821	-3.090000E-9	-6.483900E-11	8.258480E-11	-5.225044E-11	-5.367018E-11	-5.328320E-11	-5.309887E-11	-5.307567E-11	-5.319104E-11	-7.045088E-7	-3.521898E-6
51	3731687521.355937	4.464712	23.897325	25.244948	-3.100000E-9	-5.958062E-11	8.259240E-11	-5.476914E-11	-5.227762E-11	-5.051679E-11	-5.235597E-11	-5.247988E-11	-5.231679E-11	-7.044935E-7	-3.521851E-6
52	3731687538.586526	4.471254	23.899068	25.235834	-3.090000E-9	-6.128335E-11	8.259540E-11	-5.471779E-11	-5.580053E-11	-5.457830E-11	-5.436840E-11	-5.486625E-11	-5.464805E-11	-7.049934E-7	-3.524359E-6
53	3731687555.693286	4.466803	23.899862	25.233455	-3.100000E-9	-6.288593E-11	8.259420E-11	-5.382529E-11	-5.511307E-11	-5.395401E-11	-5.352684E-11	-5.410480E-11	-5.388965E-11	-7.050701E-7	-3.524738E-6
54	3731687572.919736	4.477783	23.900634	25.263556	-3.100000E-9	-6.078257E-11	8.259990E-11	-5.685869E-11	-5.602000E-11	-5.669994E-11	-5.790567E-11	-5.687107E-11	-5.677931E-11	-7.053602E-7	-3.526196E-6
55	3731687590.053563	4.472043	23.900694	25.230444	-3.100000E-9	-6.518966E-11	8.260020E-11	-5.387259E-11	-5.051597E-11	-5.235072E-11	-5.426526E-11	-5.275114E-11	-5.311166E-11	-7.044616E-7	-3.521712E-6
56	3731687607.483547	4.463360	23.901130	25.232286	-3.100000E-9	-6.043199E-11	8.260240E-11	-5.185534E-11	-5.132484E-11	-5.419134E-11	-5.228657E-11	-5.241452E-11	-5.207095E-11	-7.051677E-7	-3.525239E-6
57	3731687624.706876	4.468071	23.901091	25.223130	-3.100000E-9	-6.348694E-11	8.260610E-11	-5.476552E-11	-5.593046E-11	-5.554572E-11	-5.506376E-11	-5.532637E-11	-5.530474E-11	-7.051968E-7	-3.525380E-6
58	3731687641.813357	4.473541	23.905291	25.258623	-3.100000E-9	-6.313636E-11	8.261190E-11	-5.644372E-11	-5.660735E-11	-5.532728E-11	-5.674339E-11	-5.628043E-11	-5.652553E-11	-7.059386E-7	-3.529098E-6
59	3731687659.140166	4.476047	23.903309	25.269540	-3.110000E-9	-5.943038E-11	8.261070E-11	-5.731043E-11	-5.449953E-11	-5.763322E-11	-5.594914E-11	-5.634808E-11	-5.662979E-11	-7.044030E-7	-3.521398E-6
60	3731687676.513646	4.471097	23.904953	25.290449	-3.110000E-9	-6.003133E-11	8.261730E-11	-5.687311E-11	-5.689951E-11	-5.890782E-11	-5.639801E-11	-5.726961E-11	-5.688631E-11	-7.040072E-7	-3.519442E-6
