#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.326020E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 2:43:53 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
2	3723050468.908622	1.271472	-20.000000	25.031862	-1.503100E-5	5.393110E-12	-2.212363E-7	-2.216997E-7	-2.221445E-7	-2.226177E-7	-2.230457E-7	-2.234725E-7
3	3723050501.952050	1.266655	-20.000000	24.981982	-1.505600E-5	5.413140E-12	-2.209528E-7	-2.213775E-7	-2.217343E-7	-2.221691E-7	-2.226452E-7	-2.230333E-7
4	3723050535.014242	1.255112	-20.000000	24.986997	-1.504800E-5	5.420410E-12	-2.206137E-7	-2.210256E-7	-2.214781E-7	-2.219309E-7	-2.222980E-7	-2.227500E-7
5	3723050567.932525	1.238607	-20.000000	24.974909	-1.509500E-5	5.423060E-12	-2.206835E-7	-2.211186E-7	-2.215642E-7	-2.219472E-7	-2.223358E-7	-2.227723E-7
6	3723050601.058115	1.247953	-20.000000	24.964564	-1.509200E-5	5.425530E-12	-2.231761E-7	-2.237514E-7	-2.243213E-7	-2.249119E-7	-2.254782E-7	-2.259246E-7
7	3723050634.066637	1.227498	-20.000000	24.946036	-1.508200E-5	5.424910E-12	-2.224252E-7	-2.229035E-7	-2.233638E-7	-2.238789E-7	-2.244760E-7	-2.248599E-7
8	3723050667.571405	1.237388	-20.000000	24.959312	-1.507200E-5	5.423820E-12	-2.193338E-7	-2.197625E-7	-2.201751E-7	-2.206162E-7	-2.210166E-7	-2.214620E-7
9	3723050701.324181	1.253575	-20.000000	24.955668	-1.503500E-5	5.424350E-12	-2.190906E-7	-2.194578E-7	-2.198777E-7	-2.203139E-7	-2.207390E-7	-2.211975E-7
10	3723050734.237456	1.244007	-20.000000	24.976335	-1.507900E-5	5.425710E-12	-2.192640E-7	-2.197862E-7	-2.202091E-7	-2.205747E-7	-2.208689E-7	-2.213916E-7
11	3723050767.232414	1.250185	-20.000000	24.941735	-1.508200E-5	5.427120E-12	-2.189191E-7	-2.192583E-7	-2.196871E-7	-2.201028E-7	-2.205709E-7	-2.209863E-7

#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.326000E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 3:51:42 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
0	3723051170.931242	1.208655	-20.000000	24.889439	-1.507800E-5	5.426750E-12	-2.179910E-7	-2.184231E-7	-2.187951E-7	-2.193738E-7	-2.197212E-7	-2.201987E-7
0	3723051204.437445	1.222039	-20.000000	24.884268	-1.508300E-5	5.426550E-12	-2.297625E-7	-2.304678E-7	-2.312790E-7	-2.327267E-7	-2.332081E-7	-2.338519E-7
0	3723051237.377874	1.214402	-20.000000	24.882642	-1.507700E-5	5.425440E-12	-2.190992E-7	-2.195441E-7	-2.200304E-7	-2.205236E-7	-2.210463E-7	-2.215158E-7
0	3723051270.479028	1.218312	-20.000000	24.867008	-1.507600E-5	5.423280E-12	-2.195285E-7	-2.198976E-7	-2.204182E-7	-2.209253E-7	-2.213204E-7	-2.217481E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.325190E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 3:57:45 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.325000E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 4:00:42 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
36	3723051712.288420	1.243740	-20.000000	24.830465	-1.507700E-5	5.426970E-12	-2.139425E-7	-2.143921E-7	-2.148133E-7	-2.152740E-7	-2.157603E-7	-2.161655E-7
42	3723051746.525962	1.218206	-20.000000	24.843109	-1.507400E-5	5.424940E-12	-2.118748E-7	-2.122982E-7	-2.126858E-7	-2.131222E-7	-2.135807E-7	-2.139745E-7
43	3723051780.209729	1.235978	-20.000000	24.845525	-1.503400E-5	5.429060E-12	-2.114381E-7	-2.118584E-7	-2.122572E-7	-2.126470E-7	-2.130416E-7	-2.134279E-7
58	3723051813.665067	1.232384	-20.000000	24.809597	-1.507500E-5	5.404650E-12	-2.360871E-7	-2.346359E-7	-2.388497E-7	-2.397102E-7	-2.414714E-7	-2.425632E-7
59	3723051847.479562	1.231960	-20.000000	24.845208	-1.506700E-5	5.337910E-12	-2.098275E-7	-2.102265E-7	-2.106768E-7	-2.110843E-7	-2.115042E-7	-2.118747E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.325190E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 4:08:44 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
58	3723052193.605150	1.258164	-20.000000	24.827810	-1.507300E-5	5.397250E-12	-2.105821E-7	-2.110660E-7	-2.115210E-7	-2.119787E-7	-2.125938E-7	-2.130330E-7
